ts,reads,sectors_read,read_ticks,writes,sectors_written,write_ticks,io_ticks,weighted_ticks
1789789574.2271578,3527729,484543795,1065200,15326703,915607395,7235769,12003876,8300969
1789789575.2275612,3528809,484568675,1065448,15326709,915607443,7235770,12004584,8301218
1789789576.2279844,3529568,484583171,1065637,15326717,915607619,7235772,12005364,8301409
1789789577.2283487,3530024,484594667,1065757,15326724,915607675,7235774,12005960,8301532
1789789578.228745,3530597,484609587,1065896,15326742,915607963,7235786,12006436,8301683
1789789579.2291667,3531089,484622203,1066024,15326754,915608497,7235790,12006916,8301814
1789789580.229656,3531563,484629147,1066139,15326754,915608497,7235790,12007408,8301929
1789789581.2300928,3532597,484660723,1066404,15326757,915608553,7235791,12008120,8302195
1789789582.2304776,3533580,484686083,1066639,15326760,915608665,7235791,12008792,8302431
1789789583.230923,3533863,484694155,1066718,15326783,915608961,7235800,12009204,8302518
1789789584.2337768,3533868,484694467,1066719,15326813,915611793,7235817,12009228,8302537
1789789585.2376337,3533868,484694467,1066719,15326930,915622663,7235971,12009272,8302691
1789789586.238085,3534021,484699443,1066759,15327245,915638584,7237336,12009456,8304096
1789789587.2384677,3534536,484725163,1066895,15327251,915638736,7237338,12009912,8304234
1789789588.238866,3535371,484747931,1067106,15327271,915639000,7237348,12010688,8304454
1789789589.239287,3535732,484758883,1067204,15327282,915639165,7237351,12011148,8304555
1789789590.2397292,3536076,484775691,1067291,15327332,915640383,7237397,12011376,8304689
1789789591.2401464,3536320,484782107,1067359,15327332,915640383,7237397,12011692,8304756
1789789592.240595,3536448,484784859,1067397,15327335,915640415,7237398,12011912,8304796
1789789593.2410452,3536647,484790747,1067457,15327341,915640583,7237402,12012248,8304859
1789789594.2415643,3536724,484794291,1067481,15327343,915640599,7237402,12012388,8304884
1789789595.2455492,3536903,484799507,1067610,15327353,915640694,7237408,12012696,8305019
1789789596.2459576,3536919,484799931,1067615,15327353,915640694,7237408,12012728,8305024
1789789597.249564,3537030,484802715,1067648,15327353,915640694,7237408,12012876,8305056
1789789598.249941,3537046,484802939,1067653,15327363,915641494,7237414,12012900,8305067
1789789599.250345,3537108,484804587,1067673,15327378,915641777,7237419,12013000,8305093
1789789600.2507596,3537179,484807027,1067693,15327378,915641777,7237419,12013156,8305113
1789789601.269438,3537186,484807299,1067696,15327378,915641777,7237419,12013168,8305116
1789789602.28154,3537190,484807579,1067697,15327378,915641777,7237419,12013180,8305117
1789789603.2896464,3537190,484807579,1067697,15327385,915642857,7237422,12013188,8305120
1789789604.2975783,3537190,484807579,1067697,15327387,915642961,7237423,12013192,8305121
1789789605.3015978,3537191,484807587,1067698,15327387,915642961,7237423,12013200,8305121
1789789606.302,3537191,484807587,1067698,15327387,915642961,7237423,12013200,8305121
1789789607.3024182,3537193,484807611,1067698,15327389,915643025,7237424,12013212,8305123
1789789608.302843,3537195,484807627,1067699,15327396,915643337,7237426,12013220,8305126
1789789609.3032703,3537198,484807651,1067700,15327410,915643530,7237431,12013232,8305131
1789789610.3036802,3537202,484807707,1067701,15327412,915643642,7237432,12013252,8305134
1789789611.3041472,3537217,484808379,1067706,15327412,915643642,7237432,12013284,8305138
1789789612.3045602,3537225,484808747,1067709,15327412,915643642,7237432,12013312,8305141
1789789613.309563,3537226,484808755,1067709,15327412,915643642,7237432,12013316,8305142
1789789614.3099718,3537226,484808755,1067709,15327420,915645250,7237451,12013328,8305161
1789789615.3103795,3537226,484808755,1067709,15327422,915645354,7237452,12013332,8305162
1789789616.3175702,3537227,484808763,1067710,15327422,915645354,7237452,12013336,8305162
1789789617.317955,3537227,484808763,1067710,15327423,915645362,7237452,12013340,8305163
1789789618.3183506,3537227,484808763,1067710,15327423,915645362,7237452,12013340,8305163
1789789619.3187692,3537227,484808763,1067710,15327440,915646817,7237459,12013352,8305169
1789789620.3192031,3537230,484808787,1067711,15327549,915649038,7237561,12013372,8305272
1789789621.32156,3537230,484808787,1067711,15327552,915649144,7237562,12013380,8305273
1789789622.3220394,3537237,484808915,1067713,15327553,915649152,7237562,12013396,8305276
1789789623.3233373,3537237,484808915,1067713,15327553,915649152,7237562,12013396,8305276
1789789624.3238356,3537240,484808939,1067714,15327560,915650984,7237566,12013420,8305281
1789789625.324314,3537240,484808939,1067714,15327562,915651008,7237567,12013424,8305282
1789789626.32913,3537240,484808939,1067714,15327563,915651016,7237568,12013428,8305282
1789789627.329563,3537244,484809019,1067716,15327565,915651120,7237569,12013444,8305285
1789789628.3299544,3537246,484809283,1067716,15327565,915651120,7237569,12013452,8305286
1789789629.3303518,3537246,484809283,1067716,15327611,915655024,7237594,12013476,8305311
1789789630.330753,3537255,484809363,1067720,15327611,915655024,7237594,12013500,8305314
1789789631.3311284,3537255,484809363,1067720,15327613,915655056,7237595,12013504,8305315
1789789632.3316495,3537255,484809363,1067720,15327615,915655160,7237596,12013508,8305316
1789789633.332076,3537256,484809371,1067720,15327615,915655160,7237596,12013512,8305316
1789789634.3324702,3537256,484809371,1067720,15327620,915656808,7237597,12013516,8305318
