target,mode,run_a,run_b,common_chunks,differing,differing_spawn,differing_elsewhere,pct_elsewhere
origin,v5,det65_base_a,det65_base_b,2304,1345,66,1279,55.51
origin,region,det65_region_a,det65_region_b,2304,24,15,9,0.39
origin,region,det65_region_a,det65_region_c,2304,18,12,6,0.26
origin,region,det65_region_b,det65_region_c,2304,15,12,3,0.13
origin,closure,det65_closure_a,det65_closure_b,2304,26,17,9,0.39
shift100,v5,det65b_base_a,det65b_base_b,2304,1038,0,1038,45.05
shift100,closure,det65b_closure_a,det65b_closure_b,2304,17,0,17,0.74
shift100,region+light,det65b_regionlight_a,det65b_regionlight_b,2304,0,0,0,0.00
shift100,closure+light,det65b_closurelight_a,det65b_closurelight_b,2304,0,0,0,0.00
shift100 vs 116,v5,det65b_base_a,det65b_base_shift116,1024,385,0,385,37.60
shift100 vs 116,v5,det65b_base_b,det65b_base_shift116,1024,429,0,429,41.89
shift100 vs 116,region+light,det65b_regionlight_a,det65b_regionlight_shift116,1024,46,0,46,4.49
shift100 vs 116,closure+light,det65b_closurelight_a,det65b_closurelight_shift116,1024,0,0,0,0.00
shift100 vs 116,closure+light,det65b_closurelight_b,det65b_closurelight_shift116,1024,0,0,0,0.00
