round,order,engine,total_ms,chunks,ms_per_chunk,chunky_total
1,1,Orion v5,54845,6400,8.57,
1,2,Paper,160210,6561,24.42,0:02:40
1,3,Orion v4,131587,6400,20.56,
1,4,Leaf,177320,6561,27.03,0:02:56
1,5,Paper (7 workers),55870,6561,8.52,0:00:55
1,6,Leaf-on-crack,165230,6561,25.18,0:02:44
2,1,Paper,171210,6561,26.10,0:02:50
2,2,Orion v4,133558,6400,20.87,
2,3,Leaf,173240,6561,26.40,0:02:53
2,4,Paper (7 workers),60840,6561,9.27,0:00:59
2,5,Leaf-on-crack,174300,6561,26.57,0:02:53
2,6,Orion v5,56371,6400,8.81,
3,1,Orion v4,137449,6400,21.48,
3,2,Leaf,153180,6561,23.35,0:02:32
3,3,Paper (7 workers),62890,6561,9.59,0:01:01
3,4,Leaf-on-crack,178380,6561,27.19,0:02:57
3,5,Orion v5,54006,6400,8.44,
3,6,Paper,153140,6561,23.34,0:02:32
