round,order,engine,total_ms,chunks,ms_per_chunk,chunky_total,workers
1,1,Orion v5,52685,6400,8.23,,7
1,2,Paper (7 workers),60850,6561,9.27,0:01:00,7
1,3,Leaf (7 workers),63890,6561,9.74,0:01:03,7
1,4,Leaf-on-crack (7 workers),62880,6561,9.58,0:01:02,7
2,1,Paper (7 workers),57810,6561,8.81,0:00:56,7
2,2,Leaf (7 workers),55810,6561,8.51,0:00:54,7
2,3,Leaf-on-crack (7 workers),62930,6561,9.59,0:01:02,7
2,4,Orion v5,57536,6400,8.99,,7
3,1,Leaf (7 workers),63910,6561,9.74,0:01:03,7
3,2,Leaf-on-crack (7 workers),61920,6561,9.44,0:01:01,7
3,3,Orion v5,59425,6400,9.29,,7
3,4,Paper (7 workers),59840,6561,9.12,0:00:59,7
