samples,pct_of_total,leaf_frame
2596,10.89,"net.minecraft.world.level.levelgen.synth.SimplexNoise.dot(int[], double, double, double) line: 57"
1148,4.82,"net.minecraft.world.level.levelgen.SurfaceRules$TestRule.tryApply(int, int, int) line: 373"
1090,4.57,"net.minecraft.server.level.GenerationChunkHolder.getChunkIfPresentUnchecked(ChunkStatus) line: 288"
1010,4.24,"net.minecraft.world.level.levelgen.NoiseChunk.lambda$new$0(DensityFunction, DensityFunction$FunctionContext) line: 194"
891,3.74,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseInterpolator.compute(DensityFunction$FunctionContext) line: 624"
805,3.38,"net.minecraft.world.level.biome.BiomeManager.getBiome(BlockPos) line: 79"
800,3.36,"net.minecraft.world.level.levelgen.synth.ImprovedNoise.p(int) line: 98"
777,3.26,"net.minecraft.world.level.biome.Climate$RTree$SubTree.search(long[], Climate$RTree$Leaf, Climate$DistanceMetric) line: 129"
775,3.25,"net.minecraft.world.level.levelgen.material.MaterialRuleList.calculate(DensityFunction$FunctionContext) line: 12"
667,2.80,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 260"
665,2.79,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.compute(DensityFunction$FunctionContext) line: 276"
556,2.33,"net.minecraft.world.level.chunk.PalettedContainer.get(int) line: 147"
512,2.15,"net.minecraft.world.level.material.FluidState.isEmpty() line: 49"
507,2.13,"net.minecraft.world.level.levelgen.synth.ImprovedNoise.noise(double, double, double, double, double) line: 73"
483,2.03,"net.minecraft.world.level.chunk.PalettedContainer.getAndSet(int, Object) line: 119"
480,2.01,"net.minecraft.util.Mth.clampedMap(double, double, double, double, double) line: 749"
448,1.88,"java.util.Objects.hashCode(Object) line: 97"
388,1.63,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 236"
339,1.42,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 314"
302,1.27,"net.minecraft.world.level.levelgen.synth.PerlinNoise.getValue(double, double, double) line: 150"
293,1.23,"net.minecraft.world.level.lighting.DataLayerStorageMap.getLayer(long) line: 41"
240,1.01,"net.minecraft.world.level.chunk.ProtoChunk.setBlockState(BlockPos, BlockState, int) line: 175"
235,0.99,"net.minecraft.world.level.levelgen.DensityFunctions$Mapped.transform(DensityFunctions$Mapped$Type, double) line: 954"
233,0.98,"net.minecraft.world.level.chunk.LinearPalette.valueFor(int) line: 68"
204,0.86,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.fillArray(double[], DensityFunction$ContextProvider) line: 282"
198,0.83,"net.minecraft.world.level.chunk.PalettedContainer$Data.copyFrom(Palette, BitStorage) line: 328"
196,0.82,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.compute(DensityFunction$FunctionContext) line: 722"
194,0.81,"net.minecraft.world.level.levelgen.synth.PerlinNoise.getOctaveNoise(int) line: 194"
179,0.75,"net.minecraft.server.level.GenerationChunkHolder.getPersistedStatus() line: 313"
165,0.69,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1132"
164,0.69,"java.util.ImmutableCollections$List12.get(int) line: 609"
148,0.62,"net.minecraft.world.level.levelgen.SurfaceSystem.buildSurface(RandomState, BiomeManager, Registry, boolean, WorldGenerationContext, ChunkAccess, NoiseChunk, SurfaceRules$RuleSource) line: 162"
140,0.59,"net.minecraft.world.level.chunk.ProtoChunk.setBlockState(BlockPos, BlockState, int) line: 167"
130,0.55,"java.util.ImmutableCollections$SetN.probe(Object) line: 1263"
117,0.49,"net.minecraft.world.level.chunk.PalettedContainer$Data.copyFrom(Palette, BitStorage) line: 329"
117,0.49,"it.unimi.dsi.fastutil.longs.Long2ObjectLinkedOpenHashMap.get(long) line: 659"
110,0.46,"net.minecraft.world.level.levelgen.Beardifier.getBeardContribution(int, int, int, int) line: 211"
102,0.43,"net.minecraft.world.level.chunk.LevelChunkSection.setBlockState(int, int, int, BlockState, boolean) line: 71"
101,0.42,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 126"
99,0.42,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1210"
98,0.41,"net.minecraft.tags.TagKey.equals(Object) line: 15"
97,0.41,"java.util.Objects.equals(Object, Object) line: 62"
94,0.39,"net.minecraft.world.level.levelgen.SurfaceRules$TestRule.tryApply(int, int, int) line: 376"
87,0.37,"net.minecraft.world.level.chunk.BulkSectionAccess.getSection(BlockPos) line: 29"
84,0.35,"net.minecraft.world.level.lighting.SkyLightEngine.propagateIncrease(long, long, int) line: 170"
82,0.34,"net.minecraft.world.level.levelgen.DensityFunctions$HolderHolder.mapAll(DensityFunction$Visitor) line: 401"
75,0.31,"net.minecraft.world.level.levelgen.NoiseChunk.wrap(DensityFunction) line: 860"
71,0.30,"net.minecraft.world.level.levelgen.XoroshiroRandomSource$XoroshiroPositionalRandomFactory.at(int, int, int) line: 143"
71,0.30,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 246"
71,0.30,"it.unimi.dsi.fastutil.longs.LongOpenHashSet.add(long) line: 402"
67,0.28,"net.minecraft.world.level.levelgen.NoiseChunk.selectCellYZ(int, int) line: 363"
