t_seconds,cpu_pct
1.00,0.00
1.50,157.60
2.01,773.86
2.51,757.46
3.01,767.25
3.51,771.25
4.01,685.37
4.51,695.36
5.01,693.56
5.51,695.30
6.01,691.41
6.51,693.73
7.01,693.32
7.52,694.35
8.02,694.79
8.52,537.55
9.02,309.83
9.52,239.86
10.02,277.84
10.52,257.84
11.02,375.76
11.52,419.75
12.02,353.78
12.52,381.79
13.02,257.86
13.52,217.87
14.02,403.73
14.52,363.79
15.02,403.71
15.52,409.73
16.03,333.81
16.53,301.83
17.03,571.71
17.53,721.46
18.03,704.80
18.53,433.69
19.03,611.61
19.53,393.80
20.03,417.70
20.53,643.59
21.03,449.73
21.53,387.72
22.03,365.70
22.53,431.27
23.03,311.80
23.54,341.16
24.04,415.71
24.54,341.50
25.04,629.49
25.54,339.72
26.04,386.28
26.55,463.58
27.05,576.62
27.55,757.44
28.05,723.53
28.55,401.77
29.05,713.56
29.55,493.58
30.05,366.43
30.55,413.70
31.05,341.75
31.55,315.79
32.06,291.77
32.56,281.43
33.06,211.84
33.56,197.86
34.06,281.30
34.56,215.86
35.06,222.86
35.57,231.85
36.07,197.84
36.57,233.85
37.07,509.77
37.57,565.62
38.07,329.77
38.57,259.84
39.08,337.77
39.58,413.75
40.08,407.70
40.58,339.73
41.08,305.79
41.58,333.81
42.08,373.75
42.58,461.56
43.08,299.74
43.58,331.75
44.08,363.74
44.58,425.42
45.08,291.78
45.58,335.73
46.09,474.97
46.59,421.67
47.09,349.73
47.59,216.60
48.09,385.74
48.59,465.98
49.09,390.82
49.59,233.86
50.09,267.84
50.59,579.65
51.10,390.95
51.60,287.81
52.10,275.83
52.60,437.72
53.10,399.70
53.60,293.78
54.10,325.70
54.60,351.38
55.10,365.77
55.60,286.37
56.10,335.80
56.60,345.76
57.10,327.77
57.60,305.76
58.10,413.56
58.60,343.76
59.11,351.49
59.61,361.74
60.11,417.74
60.61,411.59
61.11,283.81
61.61,367.75
62.11,341.72
62.61,393.46
63.11,385.72
63.61,307.81
64.11,323.74
64.61,303.61
65.11,367.77
65.61,275.77
66.11,374.42
66.61,275.73
67.11,343.77
67.62,337.16
68.12,355.76
68.62,277.69
69.12,403.19
69.62,305.83
70.12,295.73
70.62,381.70
71.12,267.84
71.62,369.81
72.12,325.70
72.62,338.54
73.12,369.74
73.62,463.46
74.13,269.81
74.63,341.80
75.13,417.71
75.63,327.78
76.13,351.77
76.63,339.75
77.13,274.44
77.63,373.72
78.13,327.79
78.63,307.99
79.13,267.83
79.63,363.72
80.14,334.61
80.64,300.87
81.14,305.79
81.64,355.76
82.14,363.74
82.64,399.71
83.14,359.73
83.64,311.78
84.14,301.79
84.64,365.77
85.15,294.04
85.65,351.74
86.15,267.19
86.65,333.79
87.15,327.78
87.65,305.80
88.15,403.67
88.65,257.82
89.15,378.25
89.65,269.76
90.15,421.66
90.66,265.60
91.16,421.60
91.66,283.75
92.16,249.80
92.66,287.33
93.16,317.77
93.66,361.67
94.16,305.42
94.66,278.78
95.16,295.21
95.66,307.83
96.16,319.77
96.66,293.77
97.16,331.76
97.66,349.76
98.17,361.75
98.67,305.24
99.17,299.82
99.67,317.77
100.17,365.70
100.67,358.47
101.17,303.77
101.67,355.77
102.17,269.75
102.67,343.75
103.18,315.42
103.68,299.65
104.18,393.76
104.68,333.00
105.18,335.80
105.68,271.80
106.18,345.73
106.68,377.76
107.18,323.81
107.68,347.78
108.19,308.09
108.69,281.79
109.19,321.78
109.69,329.83
110.19,295.81
110.69,367.73
111.19,357.78
111.69,259.85
112.19,291.82
112.69,377.77
113.19,311.82
113.69,277.70
114.19,347.79
114.69,267.76
115.19,387.56
115.69,271.62
116.20,319.62
116.70,295.75
117.20,383.73
117.70,289.80
118.20,352.92
118.70,297.85
119.20,365.75
119.70,263.80
120.20,357.77
120.70,301.24
121.20,335.03
121.71,365.06
122.21,321.78
122.71,303.82
123.21,341.75
123.71,293.82
124.21,321.78
124.71,343.78
125.21,313.17
125.71,349.57
126.21,311.43
126.71,353.72
127.21,327.76
127.72,272.23
128.22,313.76
128.72,295.63
129.22,319.52
129.72,276.76
130.22,313.78
130.72,365.76
131.22,305.66
131.73,262.57
132.23,283.81
132.73,309.68
133.23,293.78
133.73,301.80
134.23,299.78
134.73,311.83
135.23,275.81
135.73,291.83
136.23,279.78
136.73,269.84
137.23,309.68
137.73,355.19
138.23,311.81
138.73,309.82
139.23,223.86
139.74,345.73
140.24,300.38
140.74,283.77
141.24,303.79
141.74,300.91
142.24,275.36
142.74,296.99
143.24,291.81
143.74,307.75
144.24,309.75
144.74,279.83
145.25,271.78
145.75,335.79
146.25,219.83
146.75,279.77
147.25,308.67
147.75,261.81
148.25,343.75
148.75,261.82
149.25,298.47
149.75,287.83
150.25,285.81
150.75,301.81
151.25,299.81
151.75,255.85
152.25,241.84
152.75,273.83
153.25,247.83
153.75,279.79
154.26,307.82
154.76,275.81
155.26,266.62
155.76,257.82
156.26,311.78
156.77,340.14
157.27,347.77
157.77,279.81
158.27,307.37
158.77,177.74
159.27,167.88
159.77,0.00
160.27,0.00
160.77,0.00
161.27,0.00
161.77,0.00
162.27,0.00
162.77,0.00
163.27,0.00
163.77,0.00
164.27,0.00
164.77,0.00
165.28,0.00
165.78,0.00
166.28,0.00
166.78,0.00
167.28,0.00
167.78,0.00
168.28,0.00
168.78,0.00
169.28,0.00
169.78,0.00
170.28,0.00
170.78,0.00
171.28,0.00
171.78,0.00
172.28,0.00
172.78,0.00
173.28,0.00
173.78,0.00
174.28,0.00
174.78,0.00
175.28,0.00
175.78,0.00
176.28,0.00
176.78,0.00
177.28,0.00
177.78,2.00
178.29,0.00
178.79,0.00
179.29,0.00
179.79,0.00
180.29,0.00
180.79,0.00
181.29,0.00
181.79,0.00
182.29,0.00
182.79,0.00
183.29,0.00
183.79,0.00
184.29,2.00
184.79,0.00
185.29,0.00
185.79,0.00
186.29,0.00
186.79,0.00
187.29,0.00
187.79,0.00
188.29,0.00
188.79,0.00
189.29,0.00
189.79,0.00
190.29,0.00
190.80,0.00
191.30,0.00
191.80,0.00
192.30,0.00
192.80,0.00
193.30,0.00
193.80,0.00
194.30,0.00
194.80,0.00
195.30,0.00
195.80,0.00
196.30,0.00
196.80,0.00
197.30,0.00
197.80,0.00
198.30,0.00
198.80,0.00
199.30,0.00
199.80,0.00
200.30,0.00
200.80,0.00
201.30,0.00
201.80,0.00
202.30,0.00
202.80,0.00
203.31,0.00
203.81,0.00
204.31,0.00
204.81,0.00
205.31,0.00
205.81,0.00
206.31,0.00
206.81,0.00
207.31,0.00
207.81,0.00
208.31,0.00
208.81,0.00
209.31,0.00
209.81,0.00
210.31,0.00
210.81,0.00
211.31,0.00
211.81,0.00
212.31,0.00
212.81,0.00
213.31,0.00
213.81,0.00
214.31,0.00
214.82,0.00
215.32,0.00
215.82,0.00
216.32,0.00
216.82,0.00
217.32,0.00
217.82,0.00
218.32,0.00
218.82,0.00
219.32,27.98
219.82,99.94
220.32,99.94
220.82,89.94
