samples,pct_of_total,leaf_frame
6352,17.46,"io.github.eath1283.worldgend.OrionV2.fill(List, Function5) line: 118"
2877,7.91,"io.github.eath1283.worldgend.ReflectKt.call(Method, Object, Object[])"
2697,7.42,"net.minecraft.world.level.levelgen.synth.ImprovedNoise.p(int) line: 98"
2292,6.30,"java.lang.invoke.Invokers.checkCustomized(MethodHandle) line: 626"
1795,4.94,"net.minecraft.world.level.chunk.PalettedContainer.get(int) line: 147"
1511,4.15,"net.minecraft.server.level.GenerationChunkHolder.getChunkIfPresentUnchecked(ChunkStatus) line: 288"
1205,3.31,"net.minecraft.world.level.levelgen.synth.ImprovedNoise.noise(double, double, double, double, double) line: 73"
971,2.67,"net.minecraft.world.level.levelgen.NoiseChunk.lambda$new$0(DensityFunction, DensityFunction$FunctionContext) line: 194"
907,2.49,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseInterpolator.compute(DensityFunction$FunctionContext) line: 624"
851,2.34,"net.minecraft.world.level.biome.Climate$RTree$SubTree.search(long[], Climate$RTree$Leaf, Climate$DistanceMetric) line: 129"
761,2.09,"net.minecraft.world.level.levelgen.material.MaterialRuleList.calculate(DensityFunction$FunctionContext) line: 12"
703,1.93,"net.minecraft.world.level.levelgen.SurfaceRules$TestRule.tryApply(int, int, int) line: 373"
690,1.90,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 260"
660,1.81,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.compute(DensityFunction$FunctionContext) line: 276"
505,1.39,"net.minecraft.world.level.chunk.PalettedContainer.getAndSet(int, Object) line: 119"
495,1.36,"net.minecraft.world.level.material.FluidState.isEmpty() line: 49"
455,1.25,"java.util.Objects.hashCode(Object) line: 97"
453,1.25,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 236"
379,1.04,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 314"
293,0.81,"net.minecraft.world.level.lighting.DataLayerStorageMap.getLayer(long) line: 41"
272,0.75,"net.minecraft.world.level.chunk.ProtoChunk.setBlockState(BlockPos, BlockState, int) line: 175"
258,0.71,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 162"
250,0.69,"net.minecraft.world.level.levelgen.synth.PerlinNoise.getOctaveNoise(int) line: 194"
244,0.67,"it.unimi.dsi.fastutil.longs.Long2ObjectLinkedOpenHashMap.get(long) line: 659"
242,0.67,"net.minecraft.world.level.levelgen.DensityFunctions$Mapped.transform(DensityFunctions$Mapped$Type, double) line: 954"
218,0.60,"net.minecraft.world.level.chunk.LinearPalette.valueFor(int) line: 68"
217,0.60,"net.minecraft.world.level.levelgen.synth.PerlinNoise.getValue(double, double, double, double, double) line: 160"
217,0.60,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.compute(DensityFunction$FunctionContext) line: 722"
213,0.59,"net.minecraft.server.level.GenerationChunkHolder.getPersistedStatus() line: 313"
202,0.56,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.fillArray(double[], DensityFunction$ContextProvider) line: 282"
202,0.56,"net.minecraft.world.level.chunk.PalettedContainer$Data.copyFrom(Palette, BitStorage) line: 328"
196,0.54,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1132"
191,0.53,"net.minecraft.world.level.levelgen.DensityFunctions$Noise.compute(DensityFunction$FunctionContext) line: 492"
190,0.52,"net.minecraft.world.level.chunk.ProtoChunk.setBlockState(BlockPos, BlockState, int) line: 167"
181,0.50,"net.minecraft.world.level.chunk.PalettedContainer.getAndSet(int, Object) line: 121"
134,0.37,"java.util.ImmutableCollections$List12.get(int) line: 609"
127,0.35,"java.util.ImmutableCollections$SetN.probe(Object) line: 1263"
126,0.35,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1210"
123,0.34,"net.minecraft.core.TypedInstance.is(TagKey) line: 17"
111,0.31,"net.minecraft.world.level.levelgen.SurfaceRules$TestRule.tryApply(int, int, int) line: 376"
109,0.30,"net.minecraft.tags.TagKey.equals(Object) line: 15"
103,0.28,"net.minecraft.world.level.levelgen.NoiseChunk.wrap(DensityFunction) line: 860"
103,0.28,"net.minecraft.world.level.chunk.PalettedContainer$Data.copyFrom(Palette, BitStorage) line: 329"
101,0.28,"net.minecraft.world.level.levelgen.OreVeinifier.lambda$create$0(DensityFunction, BlockState, PositionalRandomFactory, DensityFunction, DensityFunction, DensityFunction$FunctionContext) line: 63"
101,0.28,"java.util.Objects.equals(Object, Object) line: 62"
98,0.27,"net.minecraft.world.level.chunk.LevelChunkSection.setBlockState(int, int, int, BlockState, boolean) line: 71"
88,0.24,"it.unimi.dsi.fastutil.longs.LongOpenHashSet.add(long) line: 402"
84,0.23,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.createTunnel(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, long, Aquifer, double, double, double, double, double, float, float, float, int, int, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 133"
82,0.23,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftNoise.compute(double, double, double) line: 777"
82,0.23,"net.minecraft.world.level.chunk.LinearPalette.idFor(Object, PaletteResize) line: 52"
81,0.22,"net.minecraft.world.level.levelgen.Beardifier.getBeardContribution(int, int, int, int) line: 211"
79,0.22,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 174"
78,0.21,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.doFill(Blender, StructureManager, RandomState, ChunkAccess, int, int) line: 433"
73,0.20,"net.minecraft.world.level.levelgen.DensityFunctions$HolderHolder.mapAll(DensityFunction$Visitor) line: 401"
64,0.18,"net.minecraft.world.level.lighting.LightEngine.propagateIncreases() line: 191"
62,0.17,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 246"
62,0.17,"net.minecraft.world.level.levelgen.SurfaceRules$Context.getMinSurfaceLevel() line: 136"
62,0.17,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1148"
61,0.17,"net.minecraft.world.level.chunk.BulkSectionAccess.getSection(BlockPos) line: 29"
60,0.16,"java.util.ImmutableCollections$Set12.contains(Object) line: 1036"
59,0.16,"net.minecraft.world.level.levelgen.SurfaceRules$VerticalGradientConditionSource$1VerticalGradientCondition.compute() line: 707"
58,0.16,"net.minecraft.world.level.levelgen.DensityFunctions$MarkerOrMarked.mapAll(DensityFunction$Visitor) line: 433"
53,0.15,"net.minecraft.world.level.levelgen.NoiseChunk.selectCellYZ(int, int) line: 363"
53,0.15,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 355"
