samples,pct_of_total,leaf_frame
6338,18.01,"io.github.eath1283.worldgend.OrionV2.fill(List, Function5) line: 116"
4914,13.96,"jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Object, Object[]) line: 104"
2562,7.28,"net.minecraft.world.level.levelgen.synth.SimplexNoise.dot(int[], double, double, double) line: 57"
1496,4.25,"net.minecraft.server.level.GenerationChunkHolder.getChunkIfPresentUnchecked(ChunkStatus) line: 288"
1131,3.21,"net.minecraft.world.level.levelgen.SurfaceRules$TestRule.tryApply(int, int, int) line: 373"
904,2.57,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseInterpolator.compute(DensityFunction$FunctionContext) line: 624"
839,2.38,"net.minecraft.world.level.biome.Climate$RTree$SubTree.search(long[], Climate$RTree$Leaf, Climate$DistanceMetric) line: 129"
825,2.34,"net.minecraft.world.level.levelgen.synth.ImprovedNoise.p(int) line: 98"
746,2.12,"net.minecraft.world.level.levelgen.Heightmap.update(int, int, int, BlockState) line: 147"
701,1.99,"net.minecraft.world.level.levelgen.NoiseChunk.lambda$new$0(DensityFunction, DensityFunction$FunctionContext) line: 194"
684,1.94,"net.minecraft.world.level.chunk.PalettedContainer.get(int) line: 147"
655,1.86,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.compute(DensityFunction$FunctionContext) line: 276"
651,1.85,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 260"
534,1.52,"net.minecraft.world.level.levelgen.synth.ImprovedNoise.noise(double, double, double, double, double) line: 73"
517,1.47,"net.minecraft.world.level.chunk.PalettedContainer.getAndSet(int, Object) line: 119"
463,1.32,"net.minecraft.world.level.levelgen.NoiseChunk.getInterpolatedState() line: 222"
455,1.29,"java.util.Objects.hashCode(Object) line: 97"
393,1.12,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 236"
350,0.99,"java.util.ImmutableCollections$List12.get(int) line: 609"
337,0.96,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 314"
335,0.95,"net.minecraft.world.level.levelgen.feature.Feature.isAdjacentToAir(Function, BlockPos) line: 181"
326,0.93,"net.minecraft.world.level.material.FluidState.isEmpty() line: 49"
301,0.86,"net.minecraft.world.level.levelgen.synth.PerlinNoise.getValue(double, double, double) line: 150"
268,0.76,"net.minecraft.world.level.chunk.ProtoChunk.setBlockState(BlockPos, BlockState, int) line: 175"
264,0.75,"net.minecraft.world.level.lighting.DataLayerStorageMap.getLayer(long) line: 41"
241,0.68,"net.minecraft.world.level.chunk.LinearPalette.valueFor(int) line: 68"
219,0.62,"net.minecraft.world.level.levelgen.DensityFunctions$Mapped.transform(DensityFunctions$Mapped$Type, double) line: 954"
