samples,pct_of_total,leaf_frame
5869,17.10,"io.github.eath1283.worldgend.OrionV2.fill(List, Function5) line: 101"
4933,14.37,"io.github.eath1283.worldgend.ReflectKt.call(Method, Object, Object[])"
2475,7.21,"net.minecraft.world.level.levelgen.synth.SimplexNoise.dot(int[], double, double, double) line: 57"
1867,5.44,"net.minecraft.server.level.GenerationChunkHolder.getChunkIfPresentUnchecked(ChunkStatus) line: 288"
1028,3.00,"net.minecraft.world.level.levelgen.SurfaceRules$TestRule.tryApply(int, int, int) line: 373"
1028,3.00,"net.minecraft.world.level.levelgen.NoiseChunk.lambda$new$0(DensityFunction, DensityFunction$FunctionContext) line: 194"
887,2.58,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseInterpolator.compute(DensityFunction$FunctionContext) line: 624"
868,2.53,"net.minecraft.world.level.levelgen.Heightmap.update(int, int, int, BlockState) line: 147"
848,2.47,"net.minecraft.world.level.levelgen.synth.ImprovedNoise.p(int) line: 98"
844,2.46,"net.minecraft.world.level.biome.Climate$RTree$SubTree.search(long[], Climate$RTree$Leaf, Climate$DistanceMetric) line: 129"
673,1.96,"net.minecraft.world.level.material.FluidState.isEmpty() line: 49"
662,1.93,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 260"
642,1.87,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.compute(DensityFunction$FunctionContext) line: 276"
520,1.52,"net.minecraft.world.level.levelgen.synth.ImprovedNoise.noise(double, double, double, double, double) line: 73"
504,1.47,"net.minecraft.world.level.chunk.PalettedContainer.getAndSet(int, Object) line: 119"
437,1.27,"java.util.Objects.hashCode(Object) line: 97"
425,1.24,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 236"
368,1.07,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 355"
355,1.03,"net.minecraft.world.level.levelgen.feature.Feature.isAdjacentToAir(Function, BlockPos) line: 181"
304,0.89,"net.minecraft.world.level.chunk.ProtoChunk.setBlockState(BlockPos, BlockState, int) line: 175"
263,0.77,"net.minecraft.world.level.lighting.DataLayerStorageMap.getLayer(long) line: 41"
250,0.73,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 174"
239,0.70,"java.util.ImmutableCollections$SetN.probe(Object) line: 1263"
215,0.63,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.fillArray(double[], DensityFunction$ContextProvider) line: 282"
214,0.62,"net.minecraft.world.level.chunk.PalettedContainer.get(int) line: 147"
191,0.56,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.compute(DensityFunction$FunctionContext) line: 722"
188,0.55,"net.minecraft.server.level.GenerationChunkHolder.getPersistedStatus() line: 313"
180,0.52,"net.minecraft.world.level.levelgen.DensityFunctions$Mapped.transform(DensityFunctions$Mapped$Type, double) line: 954"
174,0.51,"net.minecraft.world.level.chunk.ProtoChunk.setBlockState(BlockPos, BlockState, int) line: 167"
169,0.49,"net.minecraft.world.level.levelgen.Beardifier.getBeardContribution(int, int, int, int) line: 211"
168,0.49,"java.util.ImmutableCollections$List12.get(int) line: 609"
166,0.48,"net.minecraft.world.level.levelgen.synth.PerlinNoise.getOctaveNoise(int) line: 194"
165,0.48,"net.minecraft.world.level.levelgen.synth.PerlinNoise.getValue(double, double, double) line: 150"
165,0.48,"net.minecraft.world.level.levelgen.DensityFunctions$TransformerWithContext.fillArray(double[], DensityFunction$ContextProvider) line: 262"
158,0.46,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1132"
144,0.42,"it.unimi.dsi.fastutil.longs.Long2ObjectLinkedOpenHashMap.get(long) line: 659"
130,0.38,"net.minecraft.world.level.chunk.PalettedContainer$Data.copyFrom(Palette, BitStorage) line: 328"
114,0.33,"net.minecraft.world.level.chunk.PalettedContainer$Data.copyFrom(Palette, BitStorage) line: 329"
111,0.32,"net.minecraft.world.level.chunk.LevelChunkSection.setBlockState(int, int, int, BlockState, boolean) line: 71"
111,0.32,"java.util.Objects.equals(Object, Object) line: 62"
107,0.31,"net.minecraft.world.level.chunk.PalettedContainer.getAndSet(int, Object) line: 121"
99,0.29,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 126"
97,0.28,"net.minecraft.world.level.levelgen.SurfaceRules$TestRule.tryApply(int, int, int) line: 376"
87,0.25,"net.minecraft.world.level.lighting.SkyLightEngine.propagateIncrease(long, long, int) line: 170"
87,0.25,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.doFill(Blender, StructureManager, RandomState, ChunkAccess, int, int) line: 433"
87,0.25,"net.minecraft.world.level.levelgen.DensityFunctions$HolderHolder.mapAll(DensityFunction$Visitor) line: 401"
86,0.25,"net.minecraft.world.level.levelgen.NoiseChunk.wrap(DensityFunction) line: 860"
85,0.25,"it.unimi.dsi.fastutil.longs.LongOpenHashSet.add(long) line: 402"
84,0.24,"net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape.firstFull(Direction$Axis) line: 106"
