t_seconds,cpu_pct
1.00,0.00
1.50,450.67
2.00,755.43
2.50,777.50
3.01,781.42
3.51,671.31
4.01,282.37
4.51,233.85
5.01,271.83
5.52,254.88
6.02,385.74
6.52,389.71
7.02,423.72
7.52,373.76
8.02,213.86
8.52,263.82
9.02,323.44
9.52,399.76
10.02,359.77
10.52,399.67
11.02,303.80
11.52,385.75
12.02,695.16
12.52,691.58
13.02,559.45
13.52,397.69
14.02,644.38
14.52,389.78
15.03,535.40
15.53,522.71
16.03,373.78
16.53,409.71
17.03,317.79
17.53,336.97
18.03,225.85
18.54,425.60
19.04,207.82
19.54,612.74
20.04,337.73
20.54,257.73
21.04,392.87
21.54,613.60
22.04,743.54
22.55,451.73
23.05,517.59
23.55,713.49
24.05,342.34
24.55,347.30
25.05,353.77
25.55,257.81
26.05,213.87
26.55,143.91
27.05,237.84
27.55,163.88
28.05,153.89
28.56,151.88
29.06,145.86
29.56,147.88
30.06,111.92
30.56,251.81
31.06,547.53
31.56,245.82
32.06,348.90
32.56,199.87
33.06,503.07
33.56,329.77
34.06,295.81
34.56,205.87
35.07,471.44
35.57,271.84
36.07,389.74
36.57,197.89
37.07,288.22
37.57,245.80
38.07,323.81
38.57,353.75
39.07,371.74
39.58,204.91
40.08,391.71
40.58,385.25
41.08,215.87
41.58,327.78
42.08,369.72
42.58,343.77
43.08,285.81
43.58,439.69
44.08,266.95
44.58,321.78
45.08,199.86
45.59,383.76
46.09,193.88
46.59,407.70
47.09,295.11
47.59,303.51
48.09,311.77
48.59,349.76
49.09,311.80
49.59,379.65
50.09,306.47
50.59,337.21
51.09,381.79
51.59,329.79
52.09,415.72
52.59,257.84
53.09,273.83
53.60,285.79
54.10,307.79
54.60,429.72
55.10,143.87
55.60,347.38
56.10,201.87
56.60,285.84
57.10,299.79
57.60,297.77
58.10,237.81
58.60,382.27
59.10,421.49
59.61,307.78
60.11,327.76
60.61,357.72
61.11,221.86
61.61,295.78
62.11,225.84
62.61,315.78
63.11,287.57
63.61,231.86
64.11,325.81
64.61,245.78
65.11,445.68
65.61,317.82
66.12,306.16
66.62,267.82
67.12,289.87
67.62,287.80
68.12,243.80
68.62,259.73
69.12,271.81
69.62,302.58
70.12,267.80
70.62,299.79
71.13,315.78
71.63,207.57
72.13,343.77
72.63,277.11
73.13,329.74
73.63,339.62
74.13,254.46
74.63,323.80
75.13,329.76
75.63,275.82
76.13,325.48
76.63,381.71
77.13,317.78
77.64,257.66
78.14,290.69
78.64,267.81
79.14,271.81
79.64,435.73
80.14,269.81
80.64,297.24
81.14,287.79
81.64,323.77
82.14,231.83
82.64,361.75
83.14,233.83
83.64,273.80
84.14,251.83
84.64,263.81
85.14,293.82
85.64,271.83
86.15,406.39
86.65,315.80
87.15,265.80
87.65,285.80
88.15,255.84
88.65,311.77
89.15,189.84
89.65,303.79
90.15,243.83
90.66,392.71
91.16,189.86
91.66,269.80
92.16,273.82
92.66,275.78
93.16,255.62
93.66,377.75
94.16,225.08
94.66,283.79
95.16,259.75
95.66,231.67
96.16,273.77
96.66,285.77
97.17,275.22
97.67,222.22
98.17,295.83
98.67,257.84
99.17,279.77
99.68,318.09
100.18,313.81
100.68,271.83
101.18,267.80
101.68,273.80
102.18,263.77
102.68,254.88
103.18,285.74
103.68,309.77
104.18,272.71
104.68,261.77
105.18,273.69
105.68,259.80
106.19,323.79
106.69,335.92
107.19,293.77
107.69,231.86
108.19,280.15
108.69,263.82
109.19,237.84
109.69,307.82
110.19,257.82
110.69,295.79
111.19,267.83
111.70,280.82
112.20,279.81
112.70,270.05
113.20,245.83
113.70,273.84
114.20,341.76
114.70,268.38
115.20,213.85
115.70,281.80
116.21,297.78
116.71,277.78
117.21,247.83
117.71,284.74
118.21,299.82
118.71,299.79
119.21,265.80
119.71,304.19
120.21,233.82
120.71,263.80
121.21,263.52
121.71,297.72
122.21,249.83
122.72,297.80
123.22,335.70
123.72,303.54
