mode,length,round,batches,total_ns,ns_per_element,checksum
scalar,49,1,100000,13247716,2.703616,25817.107300237258
scalar,49,2,100000,15485253,3.160256,25817.107300237258
scalar,49,3,100000,12488813,2.548737,25817.107300237258
scalar,49,4,100000,9770855,1.994052,25817.107300237258
scalar,49,5,100000,11205095,2.286754,25817.107300237258
scalar,128,1,100000,10039509,0.784337,27143.890280854210
scalar,128,2,100000,8920009,0.696876,27143.890280854210
scalar,128,3,100000,8202374,0.640810,27143.890280854210
scalar,128,4,100000,9173064,0.716646,27143.890280854210
scalar,128,5,100000,8675381,0.677764,27143.890280854210
scalar,256,1,100000,17158130,0.670239,37238.337281561570
scalar,256,2,100000,15554091,0.607582,37238.337281561570
scalar,256,3,100000,15482488,0.604785,37238.337281561570
scalar,256,4,100000,16522338,0.645404,37238.337281561570
scalar,256,5,100000,15880924,0.620349,37238.337281561570
scalar,1024,1,100000,87090398,0.850492,34750.438108691036
scalar,1024,2,100000,69986800,0.683465,34750.438108691036
scalar,1024,3,100000,67107580,0.655347,34750.438108691036
scalar,1024,4,100000,65440073,0.639063,34750.438108691036
scalar,1024,5,100000,69205184,0.675832,34750.438108691036
