mode,length,round,batches,total_ns,ns_per_element,checksum
vanilla,49,1,100000,3902540,0.796437,25817.107300237258
vanilla,49,2,100000,3532375,0.720893,25817.107300237258
vanilla,49,3,100000,4106351,0.838031,25817.107300237258
vanilla,49,4,100000,3800948,0.775704,25817.107300237258
vanilla,49,5,100000,3408182,0.695547,25817.107300237258
vanilla,128,1,100000,7166310,0.559868,27143.890280854210
vanilla,128,2,100000,7382646,0.576769,27143.890280854210
vanilla,128,3,100000,8228623,0.642861,27143.890280854210
vanilla,128,4,100000,6985832,0.545768,27143.890280854210
vanilla,128,5,100000,7228166,0.564700,27143.890280854210
vanilla,256,1,100000,13863060,0.541526,37238.337281561570
vanilla,256,2,100000,13973968,0.545858,37238.337281561570
vanilla,256,3,100000,14478404,0.565563,37238.337281561570
vanilla,256,4,100000,15531389,0.606695,37238.337281561570
vanilla,256,5,100000,15331785,0.598898,37238.337281561570
vanilla,1024,1,100000,82461377,0.805287,34750.438108691036
vanilla,1024,2,100000,87391623,0.853434,34750.438108691036
vanilla,1024,3,100000,78345367,0.765091,34750.438108691036
vanilla,1024,4,100000,71152887,0.694852,34750.438108691036
vanilla,1024,5,100000,66989379,0.654193,34750.438108691036
