mode,length,round,batches,total_ns,ns_per_element,checksum
vector,49,1,100000,4319191,0.881468,25817.107300237258
vector,49,2,100000,3768588,0.769100,25817.107300237258
vector,49,3,100000,3504132,0.715129,25817.107300237258
vector,49,4,100000,3611043,0.736948,25817.107300237258
vector,49,5,100000,3273369,0.668034,25817.107300237258
vector,128,1,100000,5837338,0.456042,27143.890280854210
vector,128,2,100000,5593881,0.437022,27143.890280854210
vector,128,3,100000,5741097,0.448523,27143.890280854210
vector,128,4,100000,5442958,0.425231,27143.890280854210
vector,128,5,100000,5362968,0.418982,27143.890280854210
vector,256,1,100000,11049032,0.431603,37238.337281561570
vector,256,2,100000,11234030,0.438829,37238.337281561570
vector,256,3,100000,12131002,0.473867,37238.337281561570
vector,256,4,100000,11654258,0.455244,37238.337281561570
vector,256,5,100000,12130861,0.473862,37238.337281561570
vector,1024,1,100000,38864730,0.379538,34750.438108691036
vector,1024,2,100000,39455979,0.385312,34750.438108691036
vector,1024,3,100000,38173454,0.372788,34750.438108691036
vector,1024,4,100000,38521497,0.376186,34750.438108691036
vector,1024,5,100000,38408866,0.375087,34750.438108691036
