label,mode,tile,verify,total_ms,chunks,emspc,parallelism,live_workers,gc,flags
simd66_correctness_vanilla_r1,vanilla,2,True,18266,1024,17.837890625,7,50,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5 -Dmosaic.tile=2 -Dorion.parallelSteps.verify=true -Dorion.simd.verify=true -Dorion.deterministicFeatures=region -Dorion.patchWorldgenLight=true -Dorion.targetShift=100 -Ddescribe.histogramfile=/root/worldgen/WorldgenD/findings/orion51_runs/simd66_correctness/simd66_correctness_vanilla_r1.hist
simd66_correctness_vector_r1,vector,2,True,21649,1024,21.1416015625,7,50,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5.1 -Dmosaic.tile=2 -Dorion.simd=auto -Dorion.parallelSteps.verify=true -Dorion.simd.verify=true -Dorion.deterministicFeatures=region -Dorion.patchWorldgenLight=true -Dorion.targetShift=100 -Ddescribe.histogramfile=/root/worldgen/WorldgenD/findings/orion51_runs/simd66_correctness/simd66_correctness_vector_r1.hist
simd66_correctness_scalar_r1,scalar,2,True,17552,1024,17.140625,7,58,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5.1 -Dmosaic.tile=2 -Dorion.simd=scalar -Dorion.parallelSteps.verify=true -Dorion.simd.verify=true -Dorion.deterministicFeatures=region -Dorion.patchWorldgenLight=true -Dorion.targetShift=100 -Ddescribe.histogramfile=/root/worldgen/WorldgenD/findings/orion51_runs/simd66_correctness/simd66_correctness_scalar_r1.hist
simd66_blocks_vanilla_r1,vanilla,2,True,22253,1024,21.7314453125,7,50,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5 -Dmosaic.tile=2 -Dorion.parallelSteps.verify=true -Dorion.simd.verify=true -Dorion.deterministicFeatures=region -Dorion.patchWorldgenLight=true -Dorion.targetShift=100 -Ddescribe.histogramfile=/root/worldgen/WorldgenD/findings/orion51_runs/simd66_blocks/simd66_blocks_vanilla_r1.hist
simd66_blocks_vector_r1,vector,2,True,20830,1024,20.341796875,7,51,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5.1 -Dmosaic.tile=2 -Dorion.simd=auto -Dorion.parallelSteps.verify=true -Dorion.simd.verify=true -Dorion.deterministicFeatures=region -Dorion.patchWorldgenLight=true -Dorion.targetShift=100 -Ddescribe.histogramfile=/root/worldgen/WorldgenD/findings/orion51_runs/simd66_blocks/simd66_blocks_vector_r1.hist
simd66_blocks_scalar_r1,scalar,2,True,18605,1024,18.1689453125,7,51,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5.1 -Dmosaic.tile=2 -Dorion.simd=scalar -Dorion.parallelSteps.verify=true -Dorion.simd.verify=true -Dorion.deterministicFeatures=region -Dorion.patchWorldgenLight=true -Dorion.targetShift=100 -Ddescribe.histogramfile=/root/worldgen/WorldgenD/findings/orion51_runs/simd66_blocks/simd66_blocks_scalar_r1.hist
simd66_t5_vanilla_r1,vanilla,5,False,64801,6400,10.12515625,7,50,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5 -Dmosaic.tile=5
simd66_t5_vector_r1,vector,5,False,55265,6400,8.63515625,7,50,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5.1 -Dmosaic.tile=5 -Dorion.simd=auto
simd66_t5_scalar_r1,scalar,5,False,62213,6400,9.72078125,7,51,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5.1 -Dmosaic.tile=5 -Dorion.simd=scalar
simd66_t5_vector_r2,vector,5,False,57128,6400,8.92625,7,51,"PS MarkSweep, PS Scavenge",-Xms16g -Xmx16g -XX:+AlwaysPreTouch -XX:+UseParallelGC -Dmax.bg.threads=7 -Dorion.maxinflight=64 -javaagent:build/libs/orion-agent.jar -Dorion.patchReentrancy=true -Dorion.patchStructureGenState=true -Dorion.patchParallelSteps=true -Dscheduler=orion5.1 -Dmosaic.tile=5 -Dorion.simd=auto
