set,mode,round,tile,chunks,total_ms,emspc,c1gc_code
ab1,v54,1,5,6400,58407,9.126,pre_fix
ab1,v54,2,5,6400,61556,9.618,pre_fix
ab1,v54,3,5,6400,56786,8.873,pre_fix
ab1,v55,1,5,6400,52343,8.179,pre_fix
ab1,v55,2,5,6400,52423,8.191,pre_fix
ab1,v55,3,5,6400,52696,8.234,pre_fix
ab2,v53,1,5,6400,54665,8.541,pre_fix
ab2,v53,2,5,6400,54697,8.546,pre_fix
ab2,v54,1,5,6400,63438,9.912,pre_fix
ab2,v54,2,5,6400,56912,8.893,pre_fix
ab2,v55,1,5,6400,55384,8.654,pre_fix
ab2,v55,2,5,6400,52592,8.217,pre_fix
ab2,v55p0,1,5,6400,58471,9.136,pre_fix
ab3,v53,1,5,6400,51701,8.078,post_fix
ab3,v53,2,5,6400,52886,8.263,post_fix
ab3,v53,3,5,6400,62263,9.729,post_fix
ab3,v54,1,5,6400,57013,8.908,post_fix
ab3,v54,2,5,6400,63092,9.858,post_fix
ab3,v54,3,5,6400,58010,9.064,post_fix
ab3,v55,1,5,6400,52285,8.17,post_fix
ab3,v55,2,5,6400,52070,8.136,post_fix
ab3,v55,3,5,6400,49948,7.804,post_fix
ab3,v55p0,1,5,6400,59735,9.334,post_fix
ab3,v55p0,2,5,6400,56120,8.769,post_fix
ab3,v55p0,3,5,6400,55808,8.72,post_fix
fin,v54,1,5,6400,57498,8.984,post_fix
fin,v54,2,5,6400,58461,9.135,post_fix
fin,v55,1,5,6400,53174,8.308,post_fix
fin,v55,2,5,6400,51787,8.092,post_fix
big,v55,1,16,65536,1151708,17.574,pre_trigger_fix
big,v54,1,16,65536,581520,8.873,post_fix
big2,v55,2,16,65536,546059,8.332,post_fix
big3,v54,3,16,65536,513438,7.834,post_fix
big3,v55,3,16,65536,518565,7.913,post_fix
