chunk_index,latency_ms
0,1012
1,150
2,126
3,146
4,133
5,163
6,125
7,104
8,106
9,100
10,121
11,98
12,103
13,84
14,109
15,106
16,89
17,38
18,37
19,46
20,41
21,47
22,37
23,44
24,44
25,117
26,47
27,44
28,37
29,54
30,38
31,43
32,86
33,46
34,28
35,35
36,35
37,33
38,32
39,34
40,31
41,47
42,38
43,44
44,37
45,37
46,39
47,37
48,102
49,44
50,32
51,34
52,38
53,42
54,33
55,31
56,31
57,36
58,37
59,36
60,39
61,40
62,39
63,37
64,108
65,36
66,32
67,39
68,9
69,17
70,9
71,8
72,9
73,38
74,39
75,37
76,47
77,41
78,42
79,48
80,93
81,42
82,31
83,69
84,10
85,11
86,14
87,17
88,9
89,39
90,45
91,44
92,36
93,36
94,37
95,39
96,98
97,39
98,34
99,30
100,8
101,10
102,2
103,3
104,2
105,39
106,40
107,65
108,49
109,41
110,39
111,40
112,102
113,47
114,34
115,35
116,14
117,10
118,3
119,2
120,2
121,46
122,44
123,43
124,52
125,38
126,39
127,39
128,113
129,44
130,31
131,34
132,9
133,12
134,3
135,2
136,0
137,38
138,38
139,39
140,37
141,39
142,35
143,36
144,157
145,35
146,36
147,38
148,39
149,43
150,40
151,43
152,37
153,37
154,35
155,49
156,51
157,45
158,40
159,39
160,137
161,41
162,38
163,44
164,47
165,38
166,35
167,38
168,35
169,36
170,37
171,48
172,36
173,40
174,47
175,45
176,95
177,39
178,37
179,40
180,49
181,35
182,36
183,36
184,40
185,42
186,47
187,41
188,35
189,36
190,65
191,43
192,85
193,41
194,44
195,35
196,36
197,35
198,37
199,36
200,42
201,36
202,44
203,36
204,46
205,33
206,33
207,33
208,92
209,34
210,41
211,34
212,39
213,34
214,40
215,41
216,35
217,37
218,45
219,39
220,35
221,33
222,35
223,33
224,99
225,52
226,37
227,40
228,39
229,37
230,40
231,35
232,37
233,37
234,36
235,38
236,40
237,35
238,36
239,37
240,93
241,38
242,36
243,42
244,39
245,36
246,37
247,35
248,35
249,38
250,33
251,35
252,44
253,41
254,41
255,41
