12 DISPATCH -8,-8 inFlight=1 remaining=255
CALL -8,-8 took=995.87872ms
1012 COMPLETE -8,-8 inFlight=0 remaining=255
1013 DISPATCH -8,-7 inFlight=1 remaining=254
CALL -8,-7 took=149.344145ms
1162 COMPLETE -8,-7 inFlight=0 remaining=254
1162 DISPATCH -8,-6 inFlight=1 remaining=253
CALL -8,-6 took=125.531956ms
1288 COMPLETE -8,-6 inFlight=0 remaining=253
1288 DISPATCH -8,-5 inFlight=1 remaining=252
CALL -8,-5 took=145.627906ms
1434 COMPLETE -8,-5 inFlight=0 remaining=252
1434 DISPATCH -8,-4 inFlight=1 remaining=251
CALL -8,-4 took=132.62072ms
1567 COMPLETE -8,-4 inFlight=0 remaining=251
1567 DISPATCH -8,-3 inFlight=1 remaining=250
CALL -8,-3 took=162.869171ms
1730 COMPLETE -8,-3 inFlight=0 remaining=250
1730 DISPATCH -8,-2 inFlight=1 remaining=249
CALL -8,-2 took=124.406314ms
1855 COMPLETE -8,-2 inFlight=0 remaining=249
1855 DISPATCH -8,-1 inFlight=1 remaining=248
CALL -8,-1 took=103.978441ms
1959 COMPLETE -8,-1 inFlight=0 remaining=248
1959 DISPATCH -8,0 inFlight=1 remaining=247
CALL -8,0 took=105.374539ms
2065 COMPLETE -8,0 inFlight=0 remaining=247
2065 DISPATCH -8,1 inFlight=1 remaining=246
CALL -8,1 took=99.395897ms
2165 COMPLETE -8,1 inFlight=0 remaining=246
2165 DISPATCH -8,2 inFlight=1 remaining=245
CALL -8,2 took=121.062573ms
2286 COMPLETE -8,2 inFlight=0 remaining=245
2286 DISPATCH -8,3 inFlight=1 remaining=244
CALL -8,3 took=97.284988ms
2384 COMPLETE -8,3 inFlight=0 remaining=244
2384 DISPATCH -8,4 inFlight=1 remaining=243
CALL -8,4 took=102.585078ms
2487 COMPLETE -8,4 inFlight=0 remaining=243
2487 DISPATCH -8,5 inFlight=1 remaining=242
CALL -8,5 took=84.337986ms
2571 COMPLETE -8,5 inFlight=0 remaining=242
2571 DISPATCH -8,6 inFlight=1 remaining=241
CALL -8,6 took=108.687253ms
2680 COMPLETE -8,6 inFlight=0 remaining=241
2680 DISPATCH -8,7 inFlight=1 remaining=240
CALL -8,7 took=105.31093ms
2786 COMPLETE -8,7 inFlight=0 remaining=240
2786 DISPATCH -7,-8 inFlight=1 remaining=239
CALL -7,-8 took=89.14402ms
2875 COMPLETE -7,-8 inFlight=0 remaining=239
2875 DISPATCH -7,-7 inFlight=1 remaining=238
CALL -7,-7 took=37.503718ms
2913 COMPLETE -7,-7 inFlight=0 remaining=238
2913 DISPATCH -7,-6 inFlight=1 remaining=237
CALL -7,-6 took=36.412532ms
2950 COMPLETE -7,-6 inFlight=0 remaining=237
2950 DISPATCH -7,-5 inFlight=1 remaining=236
CALL -7,-5 took=46.127352ms
2996 COMPLETE -7,-5 inFlight=0 remaining=236
2996 DISPATCH -7,-4 inFlight=1 remaining=235
CALL -7,-4 took=40.377779ms
3037 COMPLETE -7,-4 inFlight=0 remaining=235
3037 DISPATCH -7,-3 inFlight=1 remaining=234
CALL -7,-3 took=47.100898ms
3084 COMPLETE -7,-3 inFlight=0 remaining=234
3085 DISPATCH -7,-2 inFlight=1 remaining=233
CALL -7,-2 took=36.05437ms
3121 COMPLETE -7,-2 inFlight=0 remaining=233
3121 DISPATCH -7,-1 inFlight=1 remaining=232
CALL -7,-1 took=43.981557ms
3165 COMPLETE -7,-1 inFlight=0 remaining=232
3165 DISPATCH -7,0 inFlight=1 remaining=231
CALL -7,0 took=43.415586ms
3209 COMPLETE -7,0 inFlight=0 remaining=231
3209 DISPATCH -7,1 inFlight=1 remaining=230
CALL -7,1 took=116.754864ms
3326 COMPLETE -7,1 inFlight=0 remaining=230
3326 DISPATCH -7,2 inFlight=1 remaining=229
CALL -7,2 took=47.033421ms
3373 COMPLETE -7,2 inFlight=0 remaining=229
3373 DISPATCH -7,3 inFlight=1 remaining=228
CALL -7,3 took=43.680603ms
3417 COMPLETE -7,3 inFlight=0 remaining=228
3417 DISPATCH -7,4 inFlight=1 remaining=227
CALL -7,4 took=35.967878ms
3454 COMPLETE -7,4 inFlight=0 remaining=227
3454 DISPATCH -7,5 inFlight=1 remaining=226
CALL -7,5 took=54.163974ms
3508 COMPLETE -7,5 inFlight=0 remaining=226
3508 DISPATCH -7,6 inFlight=1 remaining=225
CALL -7,6 took=37.887077ms
3546 COMPLETE -7,6 inFlight=0 remaining=225
3546 DISPATCH -7,7 inFlight=1 remaining=224
CALL -7,7 took=42.761058ms
